Id,Prediction
0,4194328.725384615
1,3524071.39
2,3154675.3
3,3180660.796153846
4,4143811.43
5,4248153.15
6,3871953.5246153846
7,3562555.0523076924
8,5025717.783846154
9,2966582.9953846154
10,5201265.122307693
11,5069929.702307693
12,7356275.074615384
13,7713815.92076923
14,4132788.6484615384
15,4840542.730769231
16,4295062.088461539
17,4269255.642307692
18,5467515.836923077
19,3138774.123076923
20,2010527.5384615385
21,5345748.208461539
22,4372164.235384615
23,5222932.589230769
24,4902361.803076923
25,4232302.166153846
26,3890913.053076923
27,5473626.97
28,3647558.526153846
29,5112828.873076923
30,4197834.324615384
31,2920236.585384615
32,3098313.463846154
33,4869100.343076923
34,2926992.386153846
35,4632865.657692308
36,3699797.6261538463
37,4366377.078461538
38,3581816.263846154
39,3409169.0515384614
40,4744342.910769231
41,4943594.3069230765
42,5095884.86
43,4791254.629230769
44,5823743.331538461
45,4991663.235384615
46,3223058.1607692307
47,2235253.966153846
48,5023711.548461539
49,4380674.353846154
50,5041971.137692308
51,3297748.2746153846
52,5311660.02
53,3473187.877692308
54,3564570.3653846155
55,4703875.203076923
56,6672108.100769231
57,4169743.6253846153
58,4713387.096153846
59,4544835.61923077
60,2446345.494615385
61,3502018.0315384613
62,3535944.4415384615
63,4568218.227692308
64,4654023.091538462
65,6211569.627692307
66,5087315.701538461
67,6453735.333076923
68,4869188.71
69,4570038.756153846
70,4048853.0146153844
71,2318711.5684615383
72,4124236.223846154
73,5245278.925384616
74,5414672.326153846
75,4140421.9784615384
76,5657263.344615385
77,4206560.666923077
78,5039285.250769231
79,4308812.483846154
80,5292954.757692307
81,5213687.929230769
82,3594955.486153846
83,4175180.0953846155
84,5059532.391538462
85,1877254.4353846153
86,4406133.146923077
87,4334495.102307692
88,4467400.17076923
89,3496996.6853846153
90,5211365.976153846
91,3981251.0953846155
92,3872451.7615384613
93,4122696.4761538464
94,5469781.312307692
95,3081315.4076923076
96,4532627.046153846
97,4988506.07
98,4801598.651538461
99,4344446.901538461
100,3769076.7992307693
101,2311049.5784615385
102,4110761.247692308
103,3447675.065384615
104,3859227.4876923077
105,2182783.643076923
106,3651133.3
107,4488199.474615385
108,5460020.146923077
109,4462778.103846154
110,4957026.361538461
111,4420239.586153846
112,4639289.313076923
113,5224522.632307692
114,3881123.6
115,4568376.749230769
116,3422675.7984615383
117,4447840.938461538
118,3928812.0415384616
119,4613284.4415384615
120,4766377.793076923
121,4878284.978461538
122,4533432.685384615
123,5488148.926153846
124,3525947.5238461536
125,3474060.707692308
126,7358825.151538461
127,4013375.6453846153
128,4170010.99
129,5496814.67076923
130,2250318.9561538463
131,5403756.337692307
132,5639784.732307692
133,2282031.1861538463
134,4231151.4607692305
135,4263117.354615385
136,4175206.590769231
137,3603237.5861538462
138,5223167.587692307
139,4841117.304615385
140,6125906.25
141,3082588.3561538463
142,4861285.943846154
143,2822991.183846154
144,4871417.618461538
145,4370926.563076923
146,4999963.499230769
147,3868229.21
148,4383211.186153846
149,5117624.98923077
150,3973406.5184615385
151,2290595.68
152,5167657.375384616
153,6394960.729230769
154,3385032.8023076924
155,5612258.0776923075
156,4762392.644615385
157,5127076.925384616
158,4080371.033076923
159,4048913.07
160,3062322.5692307693
161,5348896.096923077
162,4069064.9523076923
163,9696312.703846155
164,6283077.335384616
165,2978239.295384615
166,3525028.6007692306
167,4051284.3876923076
168,3699870.042307692
169,4610929.807692308
170,4187892.9930769233
171,3237245.3561538463
172,3452405.166923077
173,4612180.645384615
